location_id,SOCc,B01,B02,B03,B04,B05,B06,B07,B8A,B08,B09,B11,B12
501-1,1.35,0.0582,0.1035,0.1407,0.1735,0.2261,0.2665,0.2991,0.3325,0.3125,0.4173,0.4315,0.3381
501-2,1.14,0.066,0.1162,0.1563,0.19,0.2502,0.2851,0.3095,0.3471,0.3343,0.4139,0.4401,0.3555
501-3,1.09,0.0741,0.1102,0.1483,0.1842,0.241,0.2704,0.296,0.3337,0.3157,0.3861,0.4329,0.3555
502-1,1.26,0.0784,0.1018,0.1354,0.1681,0.2103,0.2387,0.2544,0.2882,0.2864,0.3401,0.4012,0.3127
502-2,1.2,0.0822,0.1046,0.1361,0.176,0.2077,0.2312,0.2537,0.2896,0.2816,0.3263,0.3997,0.313
502-3,0.72,0.0857,0.1045,0.135,0.1729,0.211,0.2329,0.2631,0.2982,0.2886,0.3295,0.4138,0.3253
503-1,1.36,0.0942,0.1114,0.1435,0.1806,0.2184,0.2442,0.2671,0.3005,0.2915,0.3195,0.4194,0.3325
503-2,1.19,0.0984,0.1105,0.1398,0.176,0.212,0.2395,0.2642,0.2935,0.2831,0.3043,0.4117,0.3261
503-3,1.6,0.0976,0.1198,0.1533,0.1886,0.235,0.2562,0.2739,0.3108,0.3022,0.3195,0.4278,0.3478
504-1,1.44,0.0786,0.1088,0.1389,0.1725,0.2212,0.2528,0.2734,0.3072,0.2929,0.3562,0.4268,0.3435
504-2,1.65,0.0852,0.1119,0.142,0.1774,0.2215,0.2456,0.2651,0.3016,0.2927,0.3358,0.4272,0.341
504-3,0.97,0.0855,0.1104,0.1429,0.1793,0.2255,0.2543,0.2728,0.3042,0.2974,0.3466,0.4396,0.363
505-1,2.01,0.0856,0.123,0.1532,0.1991,0.224,0.2758,0.3033,0.3397,0.3169,0.3747,0.4235,0.3317
505-2,1.23,0.0823,0.1239,0.1575,0.2018,0.2245,0.2731,0.3007,0.3432,0.3219,0.3852,0.4365,0.3366
505-3,1.18,0.0805,0.1209,0.1496,0.191,0.2238,0.2785,0.2938,0.3388,0.3092,0.3827,0.4188,0.3221
506-1,1.48,0.0931,0.1294,0.1668,0.2082,0.2487,0.271,0.2978,0.3298,0.32,0.3396,0.4568,0.3819
506-2,0.88,0.1045,0.1098,0.1427,0.1828,0.2239,0.2459,0.2656,0.2962,0.2828,0.317,0.4263,0.3485
506-3,1.59,0.1053,0.1133,0.1466,0.1898,0.2331,0.2474,0.272,0.3043,0.2879,0.3243,0.4343,0.3521
508-3,1.27,0.0762,0.1216,0.1568,0.1962,0.2479,0.2837,0.3134,0.3505,0.3214,0.3549,0.4428,0.3645
508-2,1.21,0.0715,0.1154,0.1514,0.1953,0.238,0.264,0.2894,0.3322,0.3178,0.3731,0.4243,0.3474
521-2,0.77,0.0774,0.1176,0.1566,0.1983,0.2444,0.2657,0.2932,0.3282,0.3138,0.3893,0.4674,0.3829
521-1,0.92,0.0867,0.1247,0.1593,0.2038,0.2325,0.255,0.2807,0.3124,0.3146,0.3524,0.4432,0.363
521-3,1.25,0.0753,0.1218,0.1567,0.1964,0.2324,0.2698,0.2865,0.3244,0.3186,0.3906,0.442,0.3499
520-2,1.14,0.0852,0.1121,0.1408,0.1764,0.2067,0.2406,0.2751,0.3063,0.2894,0.3492,0.3947,0.3061
520-1,1.05,0.0841,0.1101,0.138,0.1694,0.2079,0.2387,0.2672,0.3004,0.2827,0.3559,0.4029,0.3088
519-2,1.18,0.0866,0.1222,0.1564,0.1948,0.2234,0.259,0.28,0.3093,0.3138,0.3634,0.4201,0.3367
519-1,1.23,0.0973,0.1223,0.1544,0.1931,0.2307,0.2566,0.2752,0.3096,0.3034,0.347,0.4359,0.3531
519-3,1.08,0.0976,0.117,0.1494,0.1898,0.2365,0.2603,0.2811,0.3134,0.295,0.3526,0.4472,0.36
518-1,1.49,0.0872,0.1258,0.1631,0.2068,0.2423,0.2713,0.2914,0.3303,0.3296,0.366,0.4572,0.3613
518-2,0.94,0.0905,0.1314,0.1722,0.2181,0.2547,0.2808,0.3019,0.3378,0.3426,0.3592,0.4729,0.383
518-3,1.26,0.1012,0.125,0.1659,0.2079,0.2486,0.2868,0.3064,0.3396,0.3284,0.3476,0.4862,0.3955
513-1,1.02,0.0924,0.1166,0.1553,0.1989,0.2378,0.2542,0.2757,0.3143,0.3061,0.3408,0.4485,0.3712
513-2,0.78,0.0891,0.1134,0.1467,0.191,0.2242,0.2535,0.2717,0.308,0.2994,0.3575,0.4347,0.3478
513-3,1.19,0.0995,0.1132,0.1452,0.1858,0.2209,0.2465,0.2689,0.3005,0.2848,0.3337,0.439,0.3498
514-2,1.54,0.1075,0.1093,0.1397,0.1764,0.2159,0.2351,0.2581,0.2924,0.2736,0.2962,0.4172,0.3341
514-1,1.02,0.1082,0.1224,0.1503,0.1931,0.2244,0.2455,0.2655,0.3001,0.2944,0.2954,0.4271,0.344
514-3,1.84,0.111,0.1214,0.1514,0.1918,0.2319,0.2531,0.2692,0.3031,0.2938,0.3086,0.4365,0.3551
515-2,1.12,0.109,0.1121,0.1389,0.1754,0.2221,0.2412,0.2621,0.2989,0.2789,0.3101,0.4296,0.3415
515-1,1.12,0.1108,0.113,0.1416,0.1791,0.2194,0.2414,0.2614,0.296,0.2839,0.3113,0.4294,0.3406
515-3,1.45,0.1104,0.1303,0.1621,0.2062,0.2443,0.2652,0.2846,0.3193,0.3182,0.3216,0.4568,0.375
516-2,1.35,0.1131,0.1227,0.1616,0.2104,0.255,0.2794,0.2981,0.3363,0.3221,0.3376,0.5,0.4172
516-3,1.52,0.1127,0.1232,0.1645,0.2105,0.2567,0.2823,0.3031,0.3394,0.3257,0.3418,0.5035,0.4184
516-1,1.24,0.1037,0.1181,0.1596,0.2046,0.2532,0.278,0.2974,0.3324,0.3116,0.3486,0.5054,0.4183
517-1,1.01,0.1058,0.1263,0.1691,0.2193,0.2486,0.2707,0.2934,0.3293,0.3305,0.3295,0.4781,0.3941
517-3,1.04,0.103,0.1112,0.1425,0.1857,0.2281,0.248,0.2677,0.3034,0.283,0.3348,0.4406,0.3548
512-2,1.3,0.0908,0.1186,0.1591,0.2075,0.2494,0.2818,0.3048,0.3428,0.3252,0.3615,0.4844,0.4037
512-3,1.01,0.101,0.1249,0.1622,0.2124,0.2518,0.2816,0.304,0.3382,0.3215,0.3458,0.4949,0.409
512-1,1.3,0.0957,0.1248,0.167,0.2157,0.258,0.2791,0.2985,0.3398,0.3292,0.3496,0.4889,0.4108
511-1,0.91,0.1115,0.1414,0.1786,0.2263,0.2523,0.2819,0.303,0.3388,0.3376,0.3251,0.4665,0.3919
511-2,1.28,0.109,0.1216,0.1577,0.2019,0.2434,0.2675,0.2832,0.3171,0.3089,0.3233,0.4549,0.3711
511-3,1.04,0.1105,0.1277,0.1653,0.2127,0.2396,0.2615,0.2823,0.3156,0.3173,0.3184,0.45,0.3686
510-2,0.72,0.1066,0.1181,0.1481,0.1891,0.2243,0.2477,0.2685,0.3081,0.295,0.329,0.4413,0.3551
510-1,1.32,0.0942,0.1303,0.1717,0.2184,0.2623,0.2849,0.3063,0.3391,0.3344,0.3555,0.4868,0.405
510-3,1.0,0.092,0.1131,0.1451,0.1865,0.2301,0.2465,0.2675,0.3043,0.2905,0.3525,0.4544,0.3619
509-1,0.91,0.1044,0.1249,0.1579,0.2007,0.243,0.2679,0.2874,0.3269,0.3102,0.3856,0.4611,0.3839
509-3,0.95,0.0856,0.1218,0.1581,0.2001,0.2426,0.2695,0.2958,0.3426,0.3216,0.418,0.452,0.378
509-2,0.87,0.0966,0.114,0.1418,0.1808,0.2283,0.2543,0.271,0.3059,0.2843,0.3938,0.4444,0.3591
507-2,1.34,0.0958,0.1133,0.1491,0.1862,0.231,0.2578,0.2717,0.3066,0.2889,0.3394,0.4409,0.3626
507-3,1.07,0.088,0.1172,0.1535,0.1945,0.2409,0.2715,0.2926,0.3198,0.3033,0.3567,0.4528,0.3738
507-1,1.24,0.0835,0.1293,0.1677,0.2181,0.2607,0.2779,0.298,0.3385,0.3371,0.3627,0.4776,0.4057
